Biography,DateOfBirth,FirstName,Nationality,Role,SecondName
,22 May 1987,Shaima,Egypt,Actor,Abdul Qadir
,NULL,Nada,Egypt,Actor,Seif
,NULL,Mohamed,Egypt,Actor,sayad El sopkay
,NULL,shreef,Egypt,MusicComposer,mansour
,31 March 1989,Bahaa,Egypt,MusicComposer,Al-Hasan
,NULL,Mohamed,Egypt,Editor,Galal
, 4 December 1985,Karim,Egypt,Actor,Maghawry
,NULL,أيمن,Egypt,Actor,الليثي
,NULL,Kamal,Egypt,Actor,Khedr
,NULL,المجموعه,Egypt,Producer,٧٣ مؤرخين
,NULL,filmdom,Egypt,Producer,
,NULL,Ahmed,Egypt,MusicComposer,Kikar‎
,NULL,محمد,Egypt,Editor,حامد
,NULL,Camilia,Egypt,Actor,
,21 March 1971,Esam,Egypt,Actor,Tawfiq
,NULL,Reham,Egypt,Producer,Sabry
,NULL,حسين,Egypt,Cinematographer,بكر
,NULL,ABC,Egypt,Producer,Film Production
,NULL,El,null,Actor,Turky
,NULL,احمد,Egypt,Actor,الصغير
,NULL,وليد,Egypt,Actor,محمد فريد
,NULL,George,null,Producer,Junior
"Egyptian actress Ines Ezz El Din was born on September 24, 1984. She got her start in television in series such as, “Shabab Rayiq Gidan” (The Kids Are Alright, 1998), “El Ragil El Akhir” (The Other Man, 1999), and “El Raks ‘Ala Salalim Mutiharika” (The Dance on the Escalator,",24 September 1980,Inas,Egypt,Actor,Ezz Al-Din
,NULL,عوكل,Egypt,Actor,وشي
,NULL,barkat,Egypt,Actor,
,NULL,جورج,Egypt,Producer,رمسيس
,NULL,شريف,Egypt,Producer,عسران
,29 October 1973,Abdelhamid,Saudi Arabia,Actor,El Awwam
,NULL,Ahmad,Egypt,Actor,Abu Zaid
,NULL,Mazen,Egypt,Actor,
,22 June 1988,Reem,Egypt,Actor,Raafat
"Sameh El Sereity is an Egyptian actor. He was born in 1951 in Cairo, and studied at the faculty of commerce. He then embarked on a prolific acting career, appearing in numerous plays including ""Tazkara Lel Ganna"" (Ticket to Paradise) and ""Kora Kora"" (Ball",19 March 1951,Sameh,Egypt,Actor,El Soreity
,NULL,Ahmad,Egypt,Actor,Salah
,NULL,Ehab,Egypt,Actor,Sobhi
,NULL,Assim,Egypt,Actor,Sami
, 1 December 1969,Amr,Egypt,Writer,Abdullatif
,11 November 1983,muhammad,Egypt,Writer,ismail ragheb
,NULL,Khaled,Egypt,Actor,Hassan
,NULL,Mohamed,Egypt,Director,Shawky Hassan
"Heba Alsisy was a law student at Mansoura University who entered the spotlight after moving to Cairo where she began working as a model and dancer. She became well-known after appearing in several commercials, and she later represented Egypt in several international beauty",28 April 1983,Heba,Egypt,Actor,El Sisi
,NULL,tantawy,Egypt,Editor,
,NULL,Tamer,Egypt,Actor,Saad
,NULL,Reda,Egypt,Producer,Mahmoud
,NULL,Ahmed,Egypt,Producer,El-Sersawy
,NULL,أحمد,Egypt,PublicRelations,رضا
,NULL,محمد,Egypt,Editor,عباس
,NULL,,Egypt,SoundEngineer,Sharif Izz al-Din
,NULL,Andrew,South Africa,Other,McKenzie
,NULL,طارق,Egypt,Actor,المصري
,26 December 1983,Esam,Egypt,Actor,Al-Saqqa
,NULL,هشام,Egypt,Actor,حلمي
,NULL,مروة,Egypt,Actor,حمدان
"Khaled Diab’s father was a surgeon while his mother was a housewife. In sharp contrast to his nature as a child, Khaled’s character today is vibrant and lively. 
As a child, he always looked up to his brother the screenwriter Mohamed Diab as a role model.
As Khaled grew up, his", 5 March 1979,Khaled,Egypt,Writer,Diab
,18 December 1964,Ayman,Egypt,Cinematographer,Abu Makarem
,NULL,ثريا,Egypt,Actor,ربيع
,NULL,Sumaya,Egypt,Actor,Al Imam
, 6 March 1989,Ahmed,Egypt,Actor,Al-Shazly
,NULL,ميادة,Egypt,Actor,عمرو
,NULL,Mahmoud,Egypt,Actor,Elwan
,NULL,خالد,Egypt,Actor,الشرشابي
,NULL,Mohammed,Egypt,Actor,Al-Mohandes
,27 October 1965,Mohammed,Egypt,Actor,Elshershaby
, 6 October 1979,Sameh,Egypt,Actor,Sabry
,NULL,Mohamed,Egypt,Actor,sarhan
"Khaled Saleh is an Egyptian actor born on January 23, 1964 in Giza. He began acting in college where he took part in stage productions. He then performed in amateur theaters like the Hanijjar then later on the Egyptian Opera House, where he stayed for a long time. Throughout this,[مضاعفات ما بعد جراحة القلب]",23 January 1964,Khaled,Egypt,Actor,Saleh
,NULL,Gamil,Egypt,Actor,Barsoum
,NULL,yara,Egypt,Actor,farouk
,12 August 2015,Haleem,Egypt,Actor,Al Issawi
"Egyptian actor Khalil Morsy was born in 1946. He received a bachelor’s degree in agriculture and later received a second degree in theatre, as well as a doctorate. He then became the head of the theatre department at October 6th University, where he worked until his death. Morsy,[أزمة قلبية]",21 September 1946,Khalil,Egypt,Actor,Morsy
,21 January 1983,Hamza,Egypt,Actor,Al-Eily
,NULL,أفلام,Egypt,Producer,شريف عرفة
,NULL,Sulafa,Egypt,Actor,Ghanem
TODO Abu Shnab is an Egyptian actor who was born with a pretty cool mustache which helped him become an actor. He never considered acting at first because he was more interested in becoming a microbus driver because he loved reading folklore sayings on the back of microbuses and,NULL,TODO,Egypt,Actor,Abu Shnab
,13 July 1960,Nasser,Egypt,Actor,Shahin
"TODO Msh Ana is an Egyptian actor, writer and director, who graduated from law school and worked as a lawyer for a while. He is known as the peacemaker between his friends. TODO Msh Ana was married after a very strong love story that began in the courthouse, when he divorced a",NULL,TODO,Egypt,Actor,Msh Ana
"TODO Wmsh Faker Elbaqy is an Egyptian actor who appears in roles where the director needs an improvising actor. When he was a kid, he had a speech problem which drove him to shorten the things he says, or maybe because he forgot what he wanted to say! No one’s really sure! This",NULL,TODO,Egypt,Actor,.. Wmsh Faker Elbaqy
"Ahmed Mohamed Salah El Din El Sekka graduated from the Institute of Theatrical Arts in the year 1993. He is the son of the director Salah El Sakka.
Ahmed started his acting career in television where he took part in the ", 1 March 1973,Ahmed,Egypt,Actor,El Sakka
,NULL,محمد,Egypt,Producer,عبدالجواد
,NULL,زياد,Egypt,Actor,محمد
,NULL,محمد,Egypt,Producer,الزغبي
,NULL,Maged,Egypt,Actor,Mahrous
,NULL,Muhammed,Egypt,Actor,Dola Adel
Shady Shamel is an Egyptian actor. His talents came to the public’s attention when he participated and won in a contest to choose the lead actor for a series about the life of Andaleeb Abd Al Hakeem. The uncanny resemblance between himself and the departed (performer) helped, 1 January 1982,Shady,Egypt,Actor,Shamel
,NULL,Ghada,Egypt,Actor,Ali Kamel
,NULL,Tamer,Egypt,Actor,Afifi
,NULL,Mo'men,Egypt,Actor,Medhat
,NULL,محمد,Egypt,Actor,البطل
,NULL,Wael,Egypt,Actor,Adel
,NULL,حفناوي,Egypt,Actor,فايد
"Farrah is a Jordanian actress. She was born in Kuwait in 1973. Farrah has numerous talents as an actor, director, writer, engineer, designer and producer. She also worked as a model in New York, where she lived and studied. Farrah started her career appearing in music videos, and", 4 August 1973,Farah,Jordan,Actor,
,NULL,Dina,Egypt,Director,Hamza
,NULL,شريف,Egypt,Cinematographer,النمر
,NULL,Ayman,Egypt,Actor,Bishay
, 2 September 1976,Khaled,Egypt,Actor,Hamzawy
"Salah was born in Cairo and he has studied at the (Institute for Theatrical Arts). 
His acting career began with his performance in the series “Sunbol Baad Million” and thereafter he has performed exceptionally in several series which include “Ziab Al Jabal” and “Abou Al Alla",25 January 1955,Salah,Egypt,Actor,Abdullah
,22 September 2020,Samir,Egypt,Cinematographer,Bahzan
Ahmed Fahmy is a young Egyptian actor who began his artistic career as a musician in the group “Wama”. Through relying on his abilities as a musician and his training at the conservatory Fahmy achieved a great measure of success when he assumed his first acting role. After his,17 March 1980,Ahmed,Egypt,Other,Fahmi
"Ahmed Malek Mostafa is an Egyptian young actor who started his career with small roles in films like “Mafesh Faida” (There's no Hope) and the TV series “Ahlamna Elhelwa” (Our Sweet Dreams), but his big break came with his role in the hit series “Al Gama'a” (The Brotherhoo",29 September 1995,Ahmed,Egypt,Actor,Malek
"Naglaa Badr graduated from Mass Communication school in 1996. She was the first Egyptian hostess to present aired programs in Oman, where she worked with Mohamed El Margeby in “Leka' El Zahira.” (Afternoon Date). Television shows were her access to movies and series. She", 6 October 1974,Naglaa,Egypt,Actor,Badr
,12 January 1958,Moris,Egypt,ArtDirector,Adly
,NULL,Hussam,Egypt,Writer,Halim
,NULL,Emad,Egypt,Director,Fouad
"The actor Ahmed Mohamed Ahmed ""Mohamed El Halawany "" has participated in lots of Cinema and television work. Although he presented few honorary roles, he succeeded to impress us in the series ""Who's with a charming smile"", ""The band of mom and",20 June 1965,Ahmed,Egypt,Actor,El Halwany 
"Eid Abul Hamd's simple features have played a big role in his success in playing labor-intensive, brutish roles. He's become famous in Egyptian cinema for playing mostly poor, rough and tumble characters, both on stage and on television. Abul Hamd has worked with many top",NULL,Eid,Egypt,Actor,Abu Al-Hamd
,12 October 1962,Safwat,Egypt,Actor,Sobhy
,NULL,George,Egypt,Actor,Ghali
,NULL,Alfonse,Egypt,Actor,Zaki
,27 January 1942,Samir,Egypt,Actor,Fahmy
,NULL,Ramadan,Egypt,Actor,Ibrahim
,NULL,Victor,Egypt,Actor,Fawzy
,NULL,Victor,Egypt,Actor,Farouk
, 7 August 1992,Basem,Egypt,Actor,Moris Adly
,NULL,Monir,Egypt,Actor,Tawfik
,NULL,Shaheira,Egypt,Actor,Fouad (Al-Gendy)
,NULL,Majdi,Egypt,Actor,Fawwzi
,NULL,Fawzi,Egypt,Actor,Al Sharqawi
,NULL,Mona,Egypt,Actor,Attiyah
,NULL,Tariq,Egypt,Actor,Aldwairi
,NULL,عمرو,Egypt,Actor,عادل
,NULL,علا,Egypt,CostumeDesigner,أشرف
,NULL,Adel,Egypt,Actor,Azmy
,NULL,Muahmmad,Egypt,Actor,Abdulrasheed
,NULL,Jamil,Egypt,Actor,Aziz
,NULL,Zainab,Egypt,Writer,Aziz
,NULL,mohamed,Egypt,PublicRelations,el salamony
,NULL,إيمان,Egypt,Actor,يونس
"Ayman Mansour is an Egyptian actor and stand-up comedian. He started doing comedies on stage, then went on to appear as an actor in several television series and films, including Wahed Seaidy (Upper Egyptian) and ""Hazra Maznuqa"".", 1 October 1982,Ayman,Egypt,Actor,Mansour
,NULL,Ahmed,Egypt,Cinematographer,Abd El Aziz
,NULL,حسن,Egypt,Producer,الخياط
,15 December 1986,Mohamed,Egypt,Actor,Ali Rezk
"Mohamed Ossama is an Egyptian actor. He graduated from the faculty of commerce in Cairo, after which he joined Khaled Galal's acting school in the Opera House's Creativity Center. He debuted on television in the sitcom “Khamis we Gomaa” in 2010. He also appeared in",23 December 1988,Mohamed,Egypt,Actor,Osama (Os Os)
,NULL,Ahmed,Egypt,Cinematographer,Bigo
,NULL,Hussam,Egypt,Actor,Raslan
,NULL,محمد,Egypt,SoundEngineer,جابر
,NULL,مصطفى,Egypt,Actor,العزبي
,NULL,جو,null,Producer,دانيال 
,17 August 1989,Ibrahim,Egypt,MusicComposer,Shamel
,NULL,Ahmed,Egypt,Actor,Sharaf
"Screenwriter Ahmed Al Baih had his writing debut with the 1990 film “Shabab A’la Kaff A’freit” (“Youths in the Palm of a Demon”). Later in 1997, Ahmed wrote the film “Al Isma’iliyah Raieh Gayy” (“Two-Way Ticket to Isma’iliyah”). The film served to contribute to the fame of all",29 March 1969,Ahmed,Egypt,Writer,Elbeh
Mohamed Hamdy started his career as director of filming for many movies. He then shifted his interest to directing and started with the movie “Suspect” or “Al Moshtabah” in 2009. Following that was the movie “Mohtaram Illa Robo” or “three quarters decent” for actor Mohamed Ragab,NULL,Mohamed,Egypt,Director,Hamdy
,10 August 1985,Abd,Egypt,SoundEngineer,El Rahamn Mahmoud
, 1 June 1940,Ramsis,Egypt,Cinematographer,Marzouq
,NULL,Mad,null,Distributor,Solutions
,NULL,Shaimaa,Egypt,ArtDirector,Ellessi
, 3 November 1967,Khaled,Egypt,Director,Galal
,NULL,Joseph,Egypt,Producer,zohny
, 7 March 1935,Studio,Egypt,Laboratory,Masr
,NULL,احمد,Egypt,SoundEngineer,نبيل
,18 March 1977,Sameh,Egypt,Director,Samy
,28 March 1948,Alfred,Egypt,Actor,Kamal
,NULL,هانى,Egypt,Actor,نبيل
,NULL,Samir,Egypt,Actor,Rami
,NULL,James,US,Actor,Floyd
,NULL,جرجس,Egypt,Actor,فوزي  
,19 July 1973,Saïd,France,Actor,Taghmaoui
,NULL,Sally,UK,null,ELHusseini
,18 September 1980,Naglaa,Egypt,Actor,Younes
,NULL,صفية,Egypt,Actor,سامي
,NULL,رانية,Egypt,Actor,
,NULL,Maggie,Egypt,Director,Morgan
,NULL,هنا,Egypt,Actor,فريد
,15 September 1993,Fady,US,Actor,Elsayed
,NULL,إبراهيم,Egypt,Actor,كمال
,NULL,Mohamed,Egypt,MusicComposer,Nazih
,NULL,Rasha,Egypt,Actor,Samy
,NULL,Sahar,Egypt,Actor,Kamel
,NULL,Ashraf,Egypt,Actor,Al Ghannam
,NULL,حميدة,Egypt,Actor,
"Samiha was born in Shubra and was educated at the Nun’s School. She is a first rate theater performer and her real name is Samiha Ayyoub U’thman.
Samiha graduated from the Acting Institute in 1952 where she studied under Zakky Taleimat. She had an outstanding performance in the", 8 March 1932,Samiha,Egypt,Actor,Ayoub
,NULL,Nadia,Egypt,Actor,Khalifa
,NULL,Mohamed,Egypt,Actor,Sherine
,NULL,محمود,Egypt,Actor,القط
,NULL,مونيا,Egypt,Actor,
,NULL,شروق,Egypt,Actor,حسن
,NULL,عادل,Egypt,Actor,بروسلي
,NULL,عصام,Egypt,Director,العراقي
,NULL,اسراء,Egypt,Actor,محمد
,27 February 1980,Ahmed,Egypt,Actor,Moneer
,NULL,Muhammad,Egypt,Actor,Abdulhameed
, 6 January 1994,Eslam,Egypt,Actor,Ahmed
,NULL,أحمد,Egypt,Cinematographer,زيدان
[صراع مع المرض], 8 April 1957,Fifi,Egypt,Actor,El Sebaei
,NULL,دينا,Egypt,Actor,اسكندر
,NULL,منة,Egypt,Actor,الشاذلي
Omar is a novice Egyptian actor. He took part in the film “Wahed Sifr” (“One Zero”) and acted alongside the renowned actress Elham Shaheen in the television series “Na’am Ma zilt Unsa”. Omar has starred in the film “678” alongside a group of distinguished actors., 6 April 1986,Omar,Egypt,Actor,El Saeed
,NULL,مايبل,Egypt,Actor,فؤاد
,NULL,شادي,Egypt,Actor,حبشي
,NULL,Seham,Egypt,Actor,Abdel Salam
,NULL,Badie,Egypt,Actor,Gerges
,NULL,يني,Egypt,Actor,ثابت  
,NULL,ماجد,Egypt,Actor,جمال
"In his early life, Muhammad Khaan travelled to England to study architecture but returned with a cinema diploma. He became one of realistic cinema pioneers, which flourished at the end of the 1970s and through 1980s. Most of Khaan’s films visualize the life of ordinary Egyptian,[أزمة قلبية مفاجئة بمستشفى الأندلس بالمعادي]",26 October 1942,Mohamed,Egypt,Director,Khan
,NULL,,Egypt,Actor,وهيب إميل 
,NULL,Sameh,Egypt,Actor,Fikry
,NULL,سامح,Egypt,Actor,جرجس    
,NULL,بطرس,Egypt,Actor,عجايبي
,NULL,مايكل,Egypt,Actor,رأفت
,NULL,Maryam,Egypt,Actor,Elias
,NULL,Maher,Egypt,Actor,Labib
,NULL,Martina,Egypt,Actor,Adel
,NULL,مينا,Egypt,Actor,جورج
,NULL,Salma,Egypt,Actor,Salem
,NULL,مارينا,Egypt,Actor,جرجس
"Youssef El Assal worked at an airline company and can speak more than one language fluently. His wife is a relative of the actress Nelly. At the beginning of his career, directors usually chose him to play the role of the “foreigner” due to his knowledge of English and French and,[اسفكسيا الخنق]",14 May 1947,Youssef,Egypt,Actor,Al-Assal
,NULL,Amr,Egypt,SoundEngineer,Haridry
"Ayah Hemeida is a young Egyptian actress. She is the daughter of the actor Mahmoud Hemeida. She enjoyed acting from a young age and took part in several (workshops in order to refine her acting skills). 
Her first acting experience was in (Alakat Khasa) and her performance in", 3 June 1988,Aya,Egypt,Actor,Hemeda
,13 June 1991,Eslam,Egypt,Editor,Amer
,NULL,Ahmed,Egypt,Actor,Al-Ashrafi
"Egyptian actor Gamila Aziz started her acting career in the mid-1990s, appearing in numerous supporting roles. She was a member of Mohammed Sabhi's theatre troupe when they presented the play “Mama Amrika” in 1998. Aziz later appeared in the entirety of the television series ",28 August 1968,Gamila,Egypt,Actor,Aziz
,11 September 2007,Mamado,Egypt,Actor,
,NULL,محمد,Egypt,Actor,زعفان
,NULL,Habiba,Egypt,Actor,Muhammad
,NULL,فاطمة,Egypt,Actor,حجازي
,NULL,ياسر,Egypt,Actor,زكريا
,NULL,Hassan,Egypt,Actor,Al Asmar
,NULL,Mahmoud,Egypt,GraphicDesigner,El Torkman
, 5 July 1983,Anthony,UK,Actor,Welsh
,NULL,كريس,Egypt,Actor,عاطف
,NULL,Shokry,Egypt,Actor,El Far
"Youssef is an Egyptian (screenwriter) who began his career as an (announcer) on television. He (became well-known) after he presented a television program titled “Al Sitt di Umee” after which he (has issued some publications).
That was until he got to know “Adel Imam”. Thereafter",25 August 1963,Youssef,Egypt,Writer,Maaty
,10 December 1956,Fadi,Egypt,ArtDirector,Foukaih
,NULL,Robert,Egypt,Editor,Farouq
,NULL,Mohammad,Egypt,Actor,Shams
,NULL,Essam,Egypt,Actor,Fayez
"Acting is a favorite hobby of his and thus he excels at it. He first came to public attention when he took part in the film “A’yn Shams”.
Ghali presents his character with simplicity and ease and his talents have brought him attention. Ghali took part in “Al Mussafir” (“The",NULL,Boutros,Egypt,Actor,Ghaly
,NULL,Fathy,Egypt,Actor,Mostafa
,NULL,ناجي,Egypt,Actor,عزت
,NULL,علا,Egypt,Actor,عبدالباري
,NULL,Mohamed,Egypt,Actor,Younis
,22 January 1984,Mahmoud,Egypt,Actor,ElBaz
,NULL,Mansour,Egypt,Actor,Amin
,22 September 1979,Bahaa,Egypt,ArtDirector,Adnan
,NULL,محمد,Egypt,MusicComposer,عبد المنعم
,NULL,George,Egypt,MusicComposer,Anwar
,22 August 1974,Bassem,Egypt,MusicComposer,Mounir
,NULL,‎‏‎‏Kariman,Egypt,Actor,Mahdi
,NULL,Marwa,Egypt,Actor,zaki
,27 May 1986,Qamar,Lebanon,Actor,
,NULL,4,Egypt,Producer,Shabab Channel
,NULL,Amir,Egypt,Director,Shaker
,NULL,Hassan,Egypt,Actor,Selim
,NULL,Samar,Egypt,Actor,Abdulwahhab
,NULL,Farouk,Egypt,Director,Agha
,NULL,Muhammad,Egypt,Actor,Raihan
,NULL,مجدي,Egypt,Photographer,أندراوس
,NULL,Ahmad,Egypt,Writer,Abuhebh
,NULL,Ahmed,Egypt,ArtDirector,Nasr
"Shady Sorour is primarily a director, and was the head of the Puppet Theater Youth Troupe in Attaba. His works include the play “El Mahroos We El Mahroosa,” which starred actors Sawsan Badr, Ahmed Ratib, and Liqa’ Sowedan. Sorour also had several acting experiences; he appeared",NULL,Shady,Egypt,Actor,Sorour
"Hady El Gayar is an Egyptian actor. He studied acting at the High Institute of Theatrical Arts. His breakthrough came with his role in the popular play “Madraset Elmoshaghbeen” (School of Rowdies). He appeared in numerous television series, including “Almal wal Banun” (Fortune,[مضاعفات فيروس كورونا]",15 October 1949,Hadi,Egypt,Actor,Al Jayyar
,NULL,Sayed,Egypt,Writer,El Sobky
,22 May 1986,Mohamed,Egypt,Writer,Fawzy
,NULL,Maher,Egypt,Actor,Selim
,25 May 1986,Mohamed,Egypt,Director,Salama
,20 October 1988,Mohamed,Egypt,Director,Abdel Karim
"Her full name is Simone Philip Kamel, she was born in Shobra Cairo. She used to sing in school, her real talent came to the surface when she sang a Greek song at the Egyptian Greek friendship festival. She acted opposite singer Amr Diab in the movie “Ice cream in Gleem”. She also",14 June 1966,Simone,Egypt,Actor,
,30 June 1937,Mohamed,Egypt,Photographer,Bakr
,24 October 1983,Aly,Egypt,Editor,Mourad
,NULL,Alia,Egypt,Actor,Alkibaly
,NULL,Hend,Egypt,ArtDirector,Haider
"In 2004 Dollar Film Company opened its new production branch “New Century” to produce high quality Egyptian movies. Where it started with the movie “The 7th Sense” written by actor Ahmed Mekky for the first time, before achieving his current success as an actor, it was also the",NULL,New,Egypt,Producer,Century Art Production
,27 July 1987,karim,Egypt,Actor,manqoba
,NULL,Monia,Egypt,CostumeDesigner,Fath El Bab
,NULL,أسامة,Egypt,Actor,مدين
,NULL,Ayman,Egypt,Actor,abdel Azim
,NULL,خلود,Egypt,Actor,
Her full name is ‘Aaidah Riyadh Ragheb Shahata and she was born in the district of Bulaq. ‘Aaidah was married to artist Muharram Fouad and their marriage continued for about four years. She started out as a dancer in the National Folk Art Troupe at the age of fourteen and,23 January 1954,Aaidah,Egypt,Actor,Riyadh
,19 July 1978,Ibrahim,Egypt,Actor,Aboalata
,NULL,New,Syria,Producer,Cinema Group
,NULL,Mohamad,Egypt,Actor,Goely
,NULL,Muhammad,Egypt,Actor,Mustafa
,NULL,أياد,Egypt,Actor,شمس
,NULL,Rabab,Egypt,Actor,Mumtaz
"Mohamed Soliman is an Egyptian actor. He was born in 1977. He studied at the Egyptian Consevatoire until high school, and had a few chances to act on stage there. He then joined the faculty of commerce at Cairo University, and worked in tourism following his graduation. His",12 October 1977,Mohamed,Egypt,Actor,Soliman
, 4 January 1980,Amr,Egypt,Actor,Mamdouh
"Tharaa Goubail is an Egyptian actress. She studied screen writing at Cairo's High Institute of Cinema. She started acting in short films and graduation projects from the institute. In 2013, she appeared in three television ", 5 January 1991,Tharaa,Egypt,Actor,Jubail
,NULL,Moustafa,Egypt,Actor,Youssef
,NULL,مودي,Egypt,Actor,أبو غالي
,16 November 1987,Farouk,Egypt,Actor,Kasem
,17 May 1991,Mohamed,Egypt,Actor,Hany
,NULL,Hussain,Egypt,Actor,Atta
,NULL,سيف,Egypt,Actor,حسن فكري
,NULL,Madiha,Egypt,Actor,El Husseini
,NULL,Ahmed,Egypt,Actor,Al-Shorbagy
,NULL,Majdi,Egypt,Actor,Tawfiq
,NULL,Karim,Egypt,Actor,
,NULL,Ali,Egypt,Actor,Ibrahim
, 2 July 1972,Mohamed,Egypt,ArtDirector,al Moatasem 
,NULL,Muhammad,Egypt,Actor,Saeed Abouda
,NULL,مصطفى,Egypt,Actor,السبكي
,NULL,Essam,Egypt,Actor,Giga
,NULL,Ibtesam,Egypt,Actor,El Mekky
, 5 April 1971,Simsim,Egypt,Actor,Shehab
,NULL,Awad,Egypt,Producer,Maher
, 6 October 1978,Akram,Egypt,Cinematographer,Mamdouh
"Mohamed Diaa Mohamed Al Merghany received his bachelors degree in theater. He writes and acts in films and has worked on several plays and TV shows. The characters he portrays vary, from goofballs to villains. He has written and directed many plays, including ""Al",21 June 1952,Diaa,Egypt,Actor,El Merghany
, 9 March 1963,Ahmed,Egypt,Other,Sheeba
, 8 February 1975,Esam,Egypt,Actor,Ismaiel
,27 July 1975,sherif,Egypt,Actor,mabrouk
,NULL,Salma,Egypt,Actor,Al Deeb
,NULL,Ahmad,Egypt,Actor,Ismael
,NULL,Basma,Egypt,Actor,Al-Ghetani
,29 November 1983,Moustafa,Egypt,Director,Youssef
,25 December 1979,John,Egypt,Cinematographer,Hakiem
,16 March 1980,Ihab,Egypt,PublicRelations,Gohar
, 6 May 1978,Mohammed,Egypt,Producer,Setohy
,NULL,Muhammad,Egypt,Actor,Al Saqqa
,NULL,Salma,Egypt,Actor,Hanafi
,NULL,حسام,Egypt,Actor,سالم   
,NULL,Philip,Egypt,Actor,Sami
"Nagwa Fouad is a famous Egyptian belly dancer. Her real name is ‘Awaatef Muhammad ‘Agamy, she was born in 1939 to an Egyptian father and a Palestinian mother. 
Nagwa performed at the Abdeen Casino where she met Ahmad Fouad Hassan (her future husband for 6 years), a producer of st", 6 January 1939,Nagwa,Egypt,Actor,Fouad
,NULL,Zayed,Egypt,Writer,Naif
, 7 July 1988,Asma,Egypt,Actor,elshall
,NULL,Nouran,Egypt,Actor,
"Muhyy Mahmoud Saleh was born in Shubra, Egypt. He studied there and memorized the Holy Quraan. His talent was noticed by Dr. Youssif Shawqqy and he spent a while working in a children’s program at the radio broadcast. He successfully performed the songs “Akeed” (“Definitely”),", 2 November 1960,Medhat,Egypt,Actor,Saleh
,25 December 1991,Omar,Egypt,Actor,El Ebiary
,NULL,Karim,Egypt,Actor,Alaa ElDin
"Egyptian scriptwriter and songwriter, born in 1910 – Cairo.
As a child, Aboul So’oud wrote colloquial poems (zajal) that was published in “Al-Awlaad i.e. Children” magazine. He was fond of the great Badee’ Khairy’s colloquial poetry and plays thus, he followed his steps and", 9 November 1910,Aboul,Egypt,Writer,Seoud Al Ibiary
,19 April 1992,Iman,Egypt,Actor,Abdel Wahab
,NULL,Ahmed,Egypt,Actor,Abdel Hay
, 7 July 1961,Nader,Egypt,Actor,NourAlddin
,NULL,salah,Egypt,Producer,hassan
,NULL,Hanan,Egypt,Producer,Abdallah
, 1 December 1988,Bebars,Egypt,Actor,
"Wafaa Kamar is an Egyptian actress who was known to audience through her roles in television series like ""Azmet Sokkar,"" (Sokkar's Crisis), ""Karioka"" and ""Adam we Gamila"" (Adam and Gamila). She also played roles in several successful films like",NULL,Wafaa,Egypt,Actor,Qamar
,NULL,صابرين,Egypt,MusicComposer,الحسامي
,NULL,Sherif,Egypt,Director,El Qatsha
,NULL,Hybrid,null,MusicComposer,Records
,22 December 1980,Bassem,Egypt,Director,Yousri
"Ahmed El Fishawy is an Egyptian actor, and the son of actor Farouq El Fishawy. He started acting at the age of nine, debuting alongside his father in “Al Morshed” (The , appearing in small roles in several films, among which was “El Batal” (The Champion) with Ahmed Zaki in 1998.",16 February 1980,Ahmed,Egypt,Actor,El Fishawy
,NULL,Ahmed,Egypt,Director,Abdul Mohsen
"Mohamed Mamdouh is an Egyptian actor. He started acting on stage, and came to prominence in the early 2010's with roles in films like ""Bebo we Beshir"" (Bebo and Beshir) and ""Elfeel El Azraq"" (The Blue Elephant). He also starred in several television series", 9 May 1981,Mohamed,Egypt,Actor,Mamdouh
Al-Abanoudy was born in the village of Abanoud in the Egyptian governorate of Qena. His father was a “Maazoun” – a religious man who formalizes weddings. Al-Abanoudy later moved to the city of Qena where he was influenced by the songs of “al-Seera al-Hilaliyah”. He is married to,11 April 1938,Abdelrahman,Egypt,MusicComposer,El Abnoudy
, 9 October 1985,Ghada,Egypt,Actor,Grisha
,14 August 1987,Marouan,Egypt,Director,Omara
,NULL,مريم,Egypt,Actor,السعيد
,NULL,Amr,null,Producer,Abdo
,NULL,إسلام,null,SoundEngineer,حامد 
,NULL,أشرف,Egypt,Cinematographer,جابر
,NULL,Mohammad,null,Actor,Al-Rakhawi
,NULL,Nesma,Egypt,Actor,Elbatel
Ahmed Abdel Wahab is an Egyptian actor who was born on the 30th of August in 1980. He graduated from the Athletics school and then got a bachelor degree in social sciences with an acting and directing major from the 6th of October college. Recently he stepped the first step in,30 August 1980,Ahmed,Egypt,Actor,Abdel Wahab
,NULL,Emy,Egypt,Actor,El Masry
,NULL,مي,Egypt,Actor,شطا
,NULL,Mohamed,Egypt,Actor,Barghot
"Samy Abdel Halim is an Egyptian actor. He is known for playing minor and supportive roles in television series and theatrical plays. His most famous roles were in the series “Khalty Safeya wel Deir” (Aunt Safeya and the Monastery), “Qassem Amin” and “El Seera el Ashuriya” (The",15 November 1951,Samy,Egypt,Actor,Abdel Halim
,NULL,Talaat,Egypt,Actor,Al-Sheikh
,NULL,Sama,Egypt,Actor,Matar
, 5 May 2020,Mahi,Egypt,Actor,Nour (Mahi Dandash)
,NULL,Fayrouz,Egypt,Actor,Abdul Jalil
,28 September 1961,Nadia,Egypt,Director,Kamel
,23 October 2018,Mohamed,Egypt,Actor,Qenawi
,10 March 1984,Mostafa,Egypt,Cinematographer,Fahmy
,NULL,Ibtesam,Egypt,Actor,Khater
