Duration,Name,Rating,Total_Revenue,discription,genre,release_Date
52 minutes,The Mischievous Fathalla Mahrous,NULL,Null,NULL,Biography, 1 January 2015
81 minutes,Al-Mon'ataf,NULL,Null,"A Jordanian man with Palestinian roots suffers from mental issues that cause him to avoid all kinds of social interaction. He lives in a small truck designed by himself, and on his journey meets three",Drama,16 November 2016
90 minutes,Qabl Zahmet Elsaif,+18,Null,"In a tourist resort on the northern coast, Dr. Yahya decides to spend the holiday with his wife Magda before the coast gets crowded . The two are introduced to a recently divorced translator and a",Drama,19 November 2016
123 minutes,Hamlet Freezer,+12,Null,"When Egypt's climate changes , turning the country into a frozen state, a group of intelligence officers travel to Italy to get a device that can stop the frost, posing as a movie crew.",Comedy,10 September 2016
111 minutes,Yoam Lel Settat,+16,1205435,"The news about opening a new swimming pool at a local community wins the excitement of women who come from different social backgrounds. At the pool, Laila starts seeking consolation for losing her",Drama,17 November 2016
96 minutes,Noum Eltalat,All Ages,Null,"Mo'taz has a rare condition that causes him to forget anything that happens on Tuesdays. When important documents are stolen from the Real Estate Registry Office where he works, his sweetheart,",Comedy,16 July 2015
104 minutes,We Have Never Been Kids,NULL,Null,NULL,Documentary, 1 December 2015
94 minutes,Shadd Agzaa',+12,Null,"When his wife Aya is killed, Officer Omar vows revenge on the gang that killed her which brings him in conflict with his superiors and he ends up a fugitive from the law.",Drama,16 July 2015
120 minutes,Sukkar Mor,+12,Null,"The film follows the stories of five men and women connected together by romantic relationships, and how they get influenced by the social transformations of the past few years. Some persons change",Drama,16 July 2015
123 minutes,Al-Leila Al-Kebira,NULL,Null,"Spanning one day, the film takes place in a “Muled” (An Islamic saint's day celebration), following the curious and intertwined stories of a variety of different characters living nearby, working",Drama, 2 December 2015
113 minutes,El Khalbous,All Ages,Null,A romantic comedy about a playboy who gets in serious trouble with four different girls when they discover that he is seeing them all at the same time over the course of his journey to find his dream,Romance,29 July 2015
100 minutes,Welad Rizk,+12,Null,"Four brothers make a pact to abandon their life of crime one day. When a failed operation brings back old feuds, their older brother, Rezk, leaves them to work in the family's workshop. His",Action,16 July 2015
85 minutes,For Rent,NULL,Null,"As Mukhtar lives in a rented apartment, he finds himself experiencing bizarre incidents that happen in the apartment every day, when he sees the figure of a girl named Ibtisam who looks like Laila,",Comedy,NULL
NULL,Orfanelli's Hall,NULL,Null,NULL,Drama,NULL
95 minutes,Sa3yokom Mashkoor Ya Bro,+12,Null,"When a family reunites after the death of one of its members, a series of misunderstandings and mistakes sends the family into many comedic paradoxes.",Comedy, 9 September 2015
98 minutes,Al-Thaman,NULL,Null,"(Safwat) hires (Magdy) a hardworking cab driver to assassinate the novelist (Jalal Mahmoud) on the grounds that he is an atheist,which cause him to enter a cycle of confusion. At the same time, (Dima)",Thriller, 2 March 2016
98 minutes,El Bar El Tany,All Ages,600674,"A group of young men who live in a poverty-stricken village aspire to migrate to Italy seeking a better life. In their journey towards their dream life, they are faced with the treacherous waves of",Drama,19 November 2016
70 minutes,The City will Pursue You,NULL,Null,"In a country that is suffocating inside a bubble of corruption and deterioration, Ossama follows stories of old buildings being demolished and historical landmarks disappearing. He encounters",Documentary,NULL
90 minutes,Bath Mobasher,+12,Null,"As the night goes on, Faris, a suspended officer, finds himself involved in a growing number of events. His life becomes more complicated when someone starts filming his troubles and broadcasting them",Comedy,31 August 2017
90 minutes,MSH INDE,All Ages,Null,NULL,NULL,NULL
102 minutes,Cactus Flower,NULL,Null,"Aida, a rising actress from a rural background, finds herself overnight thrown out on the streets with her bourgeois withdrawn neighbor, Samiha. With the help of a young man named Yassin, they begin",Drama,28 January 2017
110 minutes,Ali Baba,+16,Null,"Ali is an opportunistic person who only cares about his own interests, even at the expense of others. When he discovers that he has a daughter in her twenties, he experiences a number of comedic",Comedy,28 March 2018
79 minutes,Aman Ya Sahabi,+12,Null,Two singers living on Mohammed Ali Street with tough financial conditions. A friend of theirs suggests that they meet women from well-off families and marry them. They set out to meet Shaira and,Comedy,31 August 2017
88 minutes,Horoob Mofagi,+16,Null,"Nader is a former pilot who retired because of the embezzlement cases in which his father is accused of. He sets out to look for Zeina, the girl he was in a relationship with, who suddenly",Drama,31 August 2017
85 minutes,Balash Tebosny,+18,Null,"Fajr is a famous temptation star, and the heroine of the first feature film of a young director. She rejects the kissing scene in the film, which provokes the director and the producer, and everyone",Comedy,28 February 2018
30 minutes,Bab Maazoul,NULL,Null,NULL,Drama,NULL
NULL,Mesh Ana,NULL,Null,NULL,NULL,NULL
110 minutes,Qesti Beyewga'ni,+12,Null,"(Hani Ramzi) lives a simple life, working as a bill and installments collector for electrical appliances, where he faces many comic paradoxes during his work due to the high prices in Egypt.",Comedy, 4 April 2018
NULL,صالون هدى,NULL,Null,NULL,Drama,NULL
99 minutes,Banat Sanawy,+12,Null,The story follows five teenage girls as they try to discover themselves but they face a lot of trouble and difficulties during high school.,Comedy, 6 January 2020
NULL,saaet shetan,NULL,Null,NULL,Thriller,NULL
90 minutes,Souad,NULL,Null,NULL,Drama,NULL
NULL,السرب,NULL,Null,NULL,Drama,NULL
NULL,mama hamil,NULL,Null,NULL,NULL,NULL
110 minutes,Al-'Aref - Awdet Younis,+12,Null,"The film tackles cybercrime through the story of Younis, a man who lives with his wife and their baby girl, as he decides to rob a bank through the internet, but then finds himself chased by a",Action,12 May 2021
NULL,Top Secret,NULL,Null,A dramatization of the turbulent political circumstances in Egypt between the 25th of January revolution in 2011 and the 30th of June revolution in 2013,History,NULL
NULL,Elankabot,NULL,Null,"An action thriller that revolves around a dangerous drug dealer, who is able to manufacture new drugs and sells them but falls into many problems and is chased by the police.",Drama,NULL
NULL,سقراط ونبيلة,NULL,Null,NULL,NULL,NULL
NULL,Mako,NULL,Null,NULL,Thriller,NULL
NULL,Aeaza Alwalad,NULL,Null,NULL,Comedy,NULL
100 minutes,Khan Tiuola,+18,1281548,"The events take place in the 1940s  during WWII inside a hotel in El-Alamein city, which is owned by a man who lives there with his family. But things take a turn with the arrival of a new guest who",Thriller, 2 December 2020
120 minutes,Waafet Reggala,All Ages,Null,"A comedy about a group of friends as they get reunited to help one of their own find his way out of major trouble. As the situation gets more complicated, they are forced to take a trip to a coastal",Comedy,13 January 2021
90 minutes,Guild Paper,NULL,Null,"Umm Abdullah is a woman of humble origin, who lives in a local neighborhood and fends for her family by running a hairdresser's.",Drama, 9 July 2020
92 minutes,Bloodline,+18,Null,NULL,Horror,30 October 2020
90 minutes,Afreet Transit	,All Ages,Null,"The story follows a drug dealer who is exposed to many problems after he becomes accused of murder, which drives him to try to prove his innocence and repent.",Comedy,11 November 2020
NULL,3 in Trouble,NULL,Null,"The story follows three talented musicians who travel to Cairo to pursue their dreams in the field of music, but they face unfortunate consequences when they discover that they're smuggling drugs",Comedy,16 July 2020
NULL,عيد جواز,NULL,Null,NULL,NULL,NULL
85 minutes,Luxor,NULL,Null,"The British aid worker Hana tries to get over her dark past by visiting the ancient city of Luxor, where she meets her ex-lover Sultan, but she finds herself torn between a troubling past and an",Romance,27 January 2020
90 minutes,El Khetta El Aayma,All Ages,Null,"A light comedy about a man who enlists the help of two people in order to steal important documents from a bank safe, which leads them to pick and train two clueless thieves to do the job.",Comedy, 6 October 2020
NULL,في عز الضهر,NULL,Null,NULL,NULL,NULL
NULL,يوم 13,NULL,Null,"A suspense horror thriller, filmed in 3D.",Thriller,NULL
15 minutes,I am afraid to forget your face,NULL,Null,NULL,Short,18 February 2021
120 minutes,SaherElnesaa,+12,Null,NULL,Mystery,NULL
NULL,Amar 14,NULL,Null,The plot revolves around 5 different love stories.,NULL,NULL
90 minutes,Shaw-ming,All Ages,Null,NULL,Comedy, 3 February 2021
NULL,أهل الكهف,NULL,Null,NULL,NULL,NULL
NULL,30 مارس,NULL,Null,NULL,NULL,NULL
93 minutes,Before Forty,+16,Null,"As Moataz suffers from a strong trauma following the death of his mother, his aunt Sama thinks that he is a psychopath. But with repeated mysterious deaths in the family, it turns out that Moataz has",Horror, 3 February 2021
NULL,Thaneya Wahda,NULL,Null,NULL,Romance,NULL
NULL,Sherit 6,NULL,Null,"The events revolve around a psychiatrist who tries to solve youth issues, and through the crises they are exposed to in their daily lives, he finds that it is not an easy job. ",NULL,NULL
111 minutes,Saheb El-Maqam,+12,Null,"When the young businessman Yehia goes through a crisis, he finds that his only hope is a mysterious holy woman named Rouh who starts to help him. ",Drama,30 July 2020
NULL,ريتسا,NULL,Null,NULL,NULL,NULL
85 minutes,Saber w Rady,All Ages,709490,"As the paralyzed businessman named Rady decides to hire a caretaker to look after him, Saber applies for the job, and they get into many comedic situations.",Comedy,30 December 2020
NULL,سيدي بشر,NULL,Null,NULL,NULL,NULL
83 minutes,El Hoot El Azraq,+12,Null,"The film revolves around the ""Blue Whale Challenge"" game used by many young people and adolescents, after the spread of technology and the parents are too busy to look after their children",Thriller,26 August 2020
85 minutes,Virus,+16,Null,"The story follows the young man Hamza who is in his senior year at the university, whose life is disrupted by a mysterious person. As he finds himself and his friends being haunted by a curse.",Horror,25 November 2020
NULL,King Size,NULL,Null,NULL,Comedy,NULL
95 minutes,The Knight and The Princess,All Ages,143385,The story of the Arab knight Muhammad Bin Qasim Al-Thaqafi who rescued many women and children from pirates in the Indian Ocean. He entered a fierce war against King Dahr who was sharing the spoils,Animation,29 January 2020
NULL,Barcode 615,NULL,Null,NULL,NULL,NULL
90 minutes,Sundooq Al Dunya,+18,1050979,The film follows the touching stories of various people struggling to survive in Downtown Cairo as they try to find balance in their lives and deal with its ups and downs. ,Drama,19 February 2020
NULL,A Nose And Three Eyes,NULL,Null,NULL,Drama,NULL
NULL,حفلة 9,NULL,Null,NULL,NULL,NULL
97 minutes,El-Hareth,+12,Null,"A couple's lives are upended after a fable is told to them during their honeymoon, about a moonless night where the devil searches for a bride. ",Drama,13 August 2020
82 minutes,Demagh Shetan,+16,Null,"A suspense drama about a family that has a tragic accident, which makes the family members get into a major conflict because of their involvement in a crime.",Drama,22 January 2020
NULL,Stockholm,NULL,Null,NULL,Thriller,27 February 2020
99 minutes,Yom W Leila,+16,Null,"The story revolves around a policeman who's investigating some social issues, especially those related to the crises of the poor inside the Mawlid of Al-Sayeda Zainab and the problems they face.",Drama, 6 January 2020
NULL,Fragile,NULL,Null,NULL,NULL, 4 March 2021
100 minutes,Ra’s El Sana,+18,Null,"The events of the film takes place on new year's eve of 2019 in the Red Sea at a resort near the city of Hurgahda,inside the world of the wealthy where difficult situations and crises happen when",Drama, 5 February 2020
90 minutes,Talq Sina'iee,+16,Null,"A husband discovers that his pregnant wife has taken pills to speed up the delivery process while seeking a visa to America, in order to give birth on American soil so that their son would obtain the",Comedy, 3 January 2018
110 minutes,Al-Ghasala	,All Ages,Null,"The fictional story of an advanced washing machine that's also a time-traveling machine. However, what it truly offers is conflicts and ironies that get imposed upon its users.",Fantasy,30 July 2020
70 minutes,Ward Masmoum,+16,Null,"Tahiyya is a young woman who works as a cleaning lady, cleaning toilets. She has one brother, Sakr, who she depends on for everything. Sakr decides to illegally immigrate to Italy, causing her to lead",Drama,28 November 2018
NULL,3otl fanny,NULL,Null,NULL,Comedy,NULL
85 minutes,Alkhrog An Elnas,+18,Null,A film director who is facing a major financial crisis turns his life upside down when he turns to drug trafficking. ,Drama,28 March 2018
102 minutes,Lees Baghdad,+12,Null,"In an atmosphere of suspense and excitement, Yousef, Khaled, and Nadia embark on a journey to locate the tomb of Alexander the Great, which has been sought by everyone for years.",Comedy,22 January 2020
92 minutes,Raghda Motawahesha,+12,Null,Ismail ( Ramez Galal) works as a makeup artist at a beauty salon. He has recently got divorced and is now raising his son on his own. When he learns that an ad director is looking to hire a young,Comedy,17 January 2018
NULL,My wife fiance,NULL,Null,NULL,Romance,NULL
162 minutes,Turab el Mass,+18,31436262,"Taha works at a pharmacy and lives with his paraplegic father. When Taha comes home to find his father murdered, he discovers previously-unknown dark secrets about his father's life through the",Thriller,16 August 2018
99 minutes,Rehlat Yusuf,All Ages,343769,"As a multinational gang attempts to steal a scroll from Egypt, their leader discovers that he has a daughter he didn't know about that got involved in one of his crimes. ",Thriller,14 March 2018
96 minutes,Hazr Tagaoul,+12,Null,"In the fall of 2013 after a curfew was imposed in Egypt, Faten is released after spending 20 years in prison for a horrific crime. She's forced to spend the night with her daughter Laila, who",Drama, 4 December 2020
87 minutes,Nos Gawaza,+12,248579,"When an accident causes a couple to lose their memory of the last ten years, they get into a lot of comedic situations. ",Comedy,14 February 2018
8 minutes,My Festival,NULL,Null,NULL,NULL,NULL
11 minutes,Newton's Third Law,NULL,Null,NULL,Drama,NULL
72 minutes,I Have A Picture: Film No. 1001 In The Life Of The Oldest Extra In The World,All Ages,Null,"With the help of El Homossany, one of the oldest assistant directors in Egypt, Zedan, a young indie filmmaker, is making a documentary about Motawe Eweis, who has worked as an extra in about 1000",Documentary,24 September 2017
90 minutes,Al-Bahth An Um Kalthoum,NULL,Null,"An Iranian filmmaker is searching for an actress that resembles Umm Kulthum. Through this journey, we get a depiction of how strong and persistent Umm Kulthum was.",Romance, 2 September 2017
15 minutes,Kl alturuq tuadiy 'iilaa ruma,NULL,Null,"Amal, a young Egyptian woman, decides to flee the country and migrate behind her family's back, but she is shocked to learn that she's pregnant by her boyfriend whom she left a month earlier. ",Short,24 November 2017
99 minutes,Al-Fondoq,+16,Null,The intertwined lives of a group of people residing at the same hotel as their stories complicate and unfold revealing their darkest secrets and desires.  ,Drama,25 October 2017
20 minutes,Something Cold,NULL,Null,NULL,Short,NULL
15 minutes,Red Velvet,NULL,Null,NULL,Short,NULL
10 minutes,Feather,NULL,Null,NULL,NULL,NULL
NULL,Plastic,NULL,Null,NULL,Short,NULL
NULL,تحت تهديد السلاح,NULL,Null,NULL,NULL,NULL
NULL,Ahmed Noterdame,NULL,Null,NULL,Comedy,NULL
NULL,Today Is A Beautiful Day,NULL,Null,NULL,Drama,NULL
NULL,Amar,NULL,Null,NULL,Horror,NULL
NULL,El Ens w Al Nems,NULL,Null,NULL,Fantasy,NULL
115 minutes,Zenzana 7,+12,8638538,"As Harby serves his sentence in prison, the friendship he forms with Mansour survives their incarceration and release. As they manage to make a name for themselves in the crime world, one of their",Thriller,16 September 2020
NULL,Ashbah Europa,NULL,Null,"A wife gives birth to sextuplets, forcing the husband to sell three of their children due to poverty. When the wife finds out, she decides to leave her husband and travel abroad and many conflicts",Action,NULL
96 minutes,Dido,All Ages,Null,"A comedy about Dido who plans with his friends to rob the rich scientist (Bayoumi Fouad), who discovers the matter and transforms them by one of his experiments into tom thumbs, which makes them",Comedy,13 May 2021
100 minutes,Al-Baa’d La Yazhab L Al-Ma’zoun Maratayen,All Ages,Null,"A comedy that revolves around the experience of marriage, and if husbands can go back in time will they marry their wives again?",Comedy,13 May 2021
NULL,Taslim 'ahali,NULL,Null,Events take place in a social comic framework.,Comedy,NULL
NULL,The crime,NULL,Null,NULL,Action,NULL
86 minutes,El Bab Yefuwt Amal,All Ages,306840,"A married couple, the laywer Amal (Dora) and her veterinarian husband Tawfiq (Sherif Salama), are in constant problems, as Amal is continuing to work in the final months of her pregnancy, which leads",Drama, 3 August 2016
80 minutes,Khaltet Omry,NULL,Null,"A social romance about the problems facing today's youth, like unemployment and marriage hardships, in addition to reflecting the social status of the Egyptian population in current times.",Romance, 3 March 2016
146 minutes,Min Talatin Sana,All Ages,Null,"Omar returns from abroad to divide his wealth equally between his nine family members. He tells them that his money is cursed, and that the curse follows anyone who has it. His cousin, Emad, observes",Drama, 6 July 2016
118 minutes,Akher Ayam Al-Madina,NULL,Null,"In 2009, the majestic Cairo is the subject of Khaled's film-making plan, with a special focus on its people's hopes and dreams. He reminisces about his childhood when his city was picturesque",Drama,14 February 2016
NULL,Little Eagles,NULL,Null,NULL,Documentary,NULL
104 minutes,Party Fe Harty,+12,Null,"In a local alley, Shuman seems to have Superpower, which he has inherited from his superhero father who happens to be Iron Man. A gang member, Diab, decides to use Shuman's powers for his personal",Comedy, 5 July 2016
106 minutes,Mamnoo' Al-Ekterab Aw El-Tasweer,+16,Null,"Thoraia comes from a wealthy, aristocratic family. She owns a building in Helwan, and part of the building has been taken over by a Police Station. Thoraia decides to file a lawsuit in order to get",Thriller,15 March 2017
25 minutes,Eigaba Namozagia,NULL,Null,"The story of a woman who becomes the acting director of a cinematic magazine as she finds herself in a dilemma when she is asked to interview many applicants for the art editor vacancy, but she is",Short,10 October 2016
100 minutes,Tesbah Ala Khair,All Ages,27469602,"A successful and wealthy engineer named Hossam El-Khedaiwy, who has recently suffered from problems in his normal life, resorts to an alternative life through a new device to enter the dream world.",Drama,25 June 2017
98 minutes,Kedbet Kol Youm,All Ages,4060483,"Hisham and Hadia, who work at the same advertising agency, an invitation to spend a vacation in Marsa Alam, in a resort owned by Sherihan. Hisham takes his wife, Aida, and Hadia takes her husband,",Drama,20 January 2016
110 minutes,Akher Deek Fe Masr,+12,Null,"Alaa Al-Deek (Mohammed Ramadan) is a bank employee, who hates women from a young age and avoids dealing with his family women. When all the men in his family die in a Nile cruise, he has to take full",Comedy,25 January 2017
NULL,An Yahood Masr; Nehayet Rehla,NULL,Null,"The film follows the stories of twelve Jewish women who are still living in Egypt till now, and refuse leaving, despite the departure of all but very few of Egypt's Jews from their country,",Documentary,20 August 2014
105 minutes,Decor,All Ages,Null,"Maha is a film set designer who finds herself torn between two worlds as she gets attached to the fictional world of her new film. As fiction and reality start to blur together, Maha needs to choose",Drama,17 December 2014
150 minutes,Zigzag,All Ages,Null,A social drama about four middle-class girls who lead simple lives with their families. Although they have independent love relationships and face the challenges that common people face in their daily,Drama,24 December 2014
91 minutes,Captain Masr,All Ages,18656276,"Football player Kamal Naguib nicknamed (Congo) became the most prominent football player in Egypt, but when he runs over a police officer by mistake, he's sentenced to 3 years , he decides to form",Comedy, 8 April 2015
112 minutes,Haz West Al-Balad,NULL,Null,"Set in the span of eight hours in the region of downtown Cairo, exploring the variety of characters present in the busy area, and several problems they face in their daily lives, in addition to the",Drama,25 January 2015
86 minutes,Karam El-King,All Ages,Null,"The rise of Karam El-King(Mahmoud Abdelmoghni)
, starting form Cairo slums, owning an electrical appliance shop, to becoming a major drug dealer. Ironically, he’s chased out by the police who accuse",Thriller,15 April 2015
95 minutes,Mother Of The Unborn,NULL,Null,NULL,Documentary, 4 November 2015
NULL,Caeserion (The Last Pharaoh),NULL,Null,NULL,Drama,NULL
95 minutes,Nashet fi Haraket Eyal,All Ages,Null,"The story follows two fresh graduates, one of which dreams of building a factory, and kidnaps a child from a wealthy family to ask for ransom that would help him fulfill his dream. But he then faces",Comedy, 3 September 2014
NULL,Movies Scenes,NULL,Null,NULL,Short, 3 February 2017
93 minutes,Omaret Roushdy,NULL,Null,"The story of the infamous Roushdy building in Alexandria which is believed to be haunted, leaving anyone who tries to live in it in the street. An evil guy tries to prove that the rumors are true.",Comedy,13 December 2017
88 minutes,Sokkar Barra,+12,Null,"A group of friends meet at a wedding party after years of separation. During the wedding, an event takes place that changes the course of the night and all their lives.",Comedy,29 March 2017
NULL,"Grandpa, the Troublemaker",NULL,Null,"An introverted, shy young man struggles to find his place in society while dealing with its people and his surroundings, until an accident turns his life upside down. But will it be enough to bring",Drama,30 July 2020
NULL,اغتصاب (اسلوب حياة),NULL,Null,NULL,NULL,NULL
NULL,Remote Control,NULL,Null,NULL,Short,19 February 2017
93 minutes,Sheikh Jackson,+18,Null,"On the day Michael Jackson died in 2009, a religious man who was once nicknamed Jackson reflects on the news. What's the connection between the King of Pop and a Sheikh in Egypt? Will the Sheikh",Drama, 4 October 2017
107 minutes,Mawlana,+12,Null,"Based on the novel by Ibrahim Issa, the movie revolves around Sheikh Hatem El Shenawy (Amr Saad), the most influential religious preacher through media who has his creditability shaken up due to his",Drama, 4 January 2017
96 minutes,Yabani Asli,All Ages,Null,"Muharram falls in love with a Japanese diplomat named Sakura, they get married and have twins.  But she returns to Japan with the kids without his knowledge because of the difficult living conditions.",Comedy,18 January 2017
69 minutes,Experimental Summer,NULL,Null,"As Mahmoud and Zeinab embark on a painstaking journey in search of the original copy of a classic Egyptian movie made in the 1980s and confiscated by the Government Film Agency, their search takes",Drama,27 September 2017
165 minutes,El-Kenz: Al-Haqiqa wa Al-Khayaal,All Ages,Null,The Treasure revolves around three ,Drama,31 August 2017
80 minutes,Mohammed Ali Street,NULL,Null,"Joe comes back to Egypt after a long time living abroad. As nostalgia sends him back to Mohamed Ali Street to relive his old memories, he is shocked to see what the street has become and how the belly",Musical,14 September 2017
110 minutes,Antar Ibn Ibn Ibn Ibn Shaddad,All Ages,7389648,"The grandson of Antar Abassi enters a fierce battle with Asad Alrijal, and tries to beat him with all his strength in order to win the heart of the most beautiful girl in the tribe.",Comedy,25 June 2017
92 minutes,Karat maymuri,+16,Null,"The film follows several separate stories, which are all connected by a young lawyer who re-opens some cases in which a final judgment was thrown, including death penalties. The lawyer thinks that",Thriller, 6 December 2017
NULL,Ta3weza 2,NULL,Null,"Three young men create fake profiles on Facebook and they all befriend the same girl, which leads to a series of endless comic paradoxes. ",Comedy, 5 April 2017
85 minutes,Leil Dakheli,+16,Null,A portrayal of the behind-the-scenes struggles of movie-making.  A crime during filming uncovers the corrupted nature of some producers as well as the illicit ways funding is received through famous,Thriller,16 August 2017
106 minutes,Hadeth Al-Nile Hilton,Adult Supervision,Null,"As the Egyptian revolution breaks out, an officer investigates the murder of a prostitute. What initially appears like an ordinary case takes a turn when he discovers the complicity of some of the",Thriller,29 September 2017
25 minutes,The Humanoid Park,NULL,Null,"Set in the future, the comic artist Mesbah objects to the government's decision to turn criminals and personas non gratas into trees. Five years after Mesbah disappears in mysterious",Short, 1 January 2015
95 minutes,The Square,NR,Null,"An intimate documentary that tells the story of the Egyptian struggle through six different protesters. We see them in Tahrir tents during the first days of the revolution,we share their victory",Documentary,25 October 2013
85 minutes,Al Molhed,+18,Null,"Based on a true story, the film tells the story of a man who starts entertaining the thought of becoming an atheist. As the son of a known Muslim preacher, the decision incurs the ire of his family",Drama,26 February 2014
90 minutes,Saeid Claquette,All Ages,Null,"On a film set, one of the workers encounters a dilemma when his daughter is kidnapped and the kidnappers ask him to kill the film's lead actor in order to get his daughter back. ",Comedy,29 January 2014
99 minutes,La Mo'akhza,All Ages,Null,"A Christian child named, Hani Abdullah Peter is forced to switch to a public school after his private one. At the new school, he claims that he's a Muslim with fear of religious persecution.",Drama,22 January 2014
80 minutes,El Dassas,All Ages,Null,A horror/comedy about Al-Harrawy family's mysterious house where strange phenomena occur that make the locals believe that it is haunted by ghosts and peculiar creatures.,Horror,21 May 2014
88 minutes,Tom wa Jimmy,All Ages,Null,"The story of a grown man who is developmentally disabled. Despite having the physical appearance of an adult, his mental capacity is that of a 7-year-old child. As he goes through various situations,",Comedy, 7 August 2013
90 minutes,Already happened,NULL,Null,NULL,Mystery,NULL
116 minutes,Qalb El-Assad,All Ages,Null,"This action thriller set in a dark criminal underworld revolves around the tough, self-reliant Faris, who was kidnapped as a child and raised at the circus among the lions and the tigers. Faris now",Thriller, 7 August 2013
95 minutes,Howa Fi Keda,All Ages,Null,"When a girl leaves Upper Egypt for Cairo, she faces a lot of problems that she tries to work through, but she is forced to give up the traditions and customs of her village. ",Drama,30 January 2013
80 minutes,8%,All Ages,Null,"A comedy about three singers who form a local band, performing in small concerts. In one of their shows in a school, a kidnapping happens and the band is accused of the crime. Situations unfold as the",Comedy,12 October 2013
100 minutes,Hatoli Ragel,All Ages,Null,What happens if women controlled the world and men were only there to entertain them? The film deals with a scenario where the roles are reversed in society with men being treated unfairly and reduced,Comedy,13 October 2013
90 minutes,Farsh wa Ghatta,All Ages,Null,"As the 25th of January revolution erupts, a young man joins hundreds of escaped prisoners as they flee into the desert. As he tries to find his way back, he comes in contact with a lot of marginalized",Drama,20 November 2013
90 minutes,Al Qashash,All Ages,Null,"Set in a local neighborhood, a young man is accused of murder and on the run, he meets a belly dancer that helps him as the relationship between them develops. Through his journey, he gets to know",Drama,12 October 2013
90 minutes,"Life, Thou Art Wicked",NULL,Null,The film depicts the world of drug dealing through showing life in a casino opened by a man as a cover for his drug-dealing business. ,Drama, 3 October 2013
45 minutes,Report,NULL,Null,NULL,Short, 1 January 2013
92 minutes,Al Hafla,All Ages,Null,"When businessman Sherif (Ahmed Ezz) reports his wife's          Sara (Ruby) mysterious disappearance to the police,  investigation led by officer (Mohamed Ragab) reveals conflicting testimonies",Action,23 January 2013
85 minutes,Odet El Firan,NULL,Null,"A movie about fear and how people respond to it, through the lives of 6 separate characters struggling with their fear, from the guy who couldn't express his feelings to his dying father, to the",Drama, 7 December 2013
89 minutes,Al-Me'addeya,All Ages,Null,"In the poor island of Dahab, a deprived young-man takes the drug dealing road to support himself. Gaining wealth and power, he's now in a dilemma with his old poor friend who wants to meet the",Drama,12 March 2014
91 minutes,Khetet Jimmy,All Ages,Null,"As a chemist tries to find a way to win back her lover, she decides to invent a chemical solution to compel him to return to her, which lands her in a lot of troubles as she faces many comedic",Comedy,29 January 2014
96 minutes,Al Mahragan,All Ages,Null,"This feature depicts the new local trend in music called “Mahragan”, through the story of two singers,Alaa Fifti and Sadat, who live in a local area. They face many challenges to prove themselves in",Comedy,29 January 2014
108 minutes,Villa 69,All Ages,Null,"Hussein is a terminally ill architect who enjoys a solitary routine in his old family home, and a variety of female visitors. Not realising his past is about to catch up with him, Hussein's sister",Comedy, 4 December 2013
52 minutes,A Very Hot Day,NULL,Null,NULL,Drama, 1 January 2014
110 minutes,Asrar Aa'eleya,+18,Null,"A film that deals with the controversial issue of homosexuality, through the eyes of both homosexual youths and those around them. The film follows a young man with homosexual tendencies who comes",Drama,22 January 2014
60 minutes,Mesteka and Rehan,NULL,Null,NULL,Drama,NULL
88 minutes,Giran El Saa'd,All Ages,Null,"A group of neighbors experience a series of unfortunate events caused by their children, to find themselves in a malaise of complications, but they discover that they have to cooperate in order to get",Comedy,16 April 2014
90 minutes,Fatat Al Masna',All Ages,Null,"The film follows Hayam, 21, who works like the rest of the girls in her poor neighborhood in a clothing factory. Her sole and emotions open up to a new romantic experience which she lives as an",Drama,19 March 2014
97 minutes,Endama Yaqa' El Insan Fi Mostanqa' Afkaro Fayanahi Bi Al-Amr Ela Al-Mahzala,+16,Null,"Hani, a beautician, Bebo, a jihadist who recently joined an Islamic extremist group, and Samir, a drug dealer, are on a trip to Lebanon. The three of them are captured by the extremist group and try",Comedy, 5 April 2017
88 minutes,Yeg'alo 'amer,+12,Null,"Amer (Ahmed Rizk) is a hesitant person who doubts all those around him, including his wife whom he divorces three time and it affects their only child, Karim.",Comedy,12 April 2017
110 minutes,Khair W Baraka,+12,10164227,"Two brothers who are looking for a job, find themselves in many comedic situations during their search journey and when they work in professions they know nothing about.",Comedy,30 August 2017
86 minutes,Hold Your Position,NULL,Null,"Ayman is a casting agent who lives a very liberal life. Hazem is a responsible man who lives a routine life with his wife and kids. As their different personalities pit them against each other, their",Comedy,12 April 2017
30 minutes,Dear Animal,NULL,Null,NULL,Short,NULL
86 minutes,Petra: The Gate Of Time,NULL,Null,"A group of young people travels to the Jordanian city, Petra, in order to prove a scientific theory associated with the city, but they end up facing countless problems.",Action,29 March 2017
100 minutes,Salem Abu Okhto,All Ages,Null,"Salem is a poor street vendor who has been taking care of his sister since their parents died. After the 25th of January revolution, his life turns into a nightmare when he gets into trouble with both",Comedy,15 April 2014
102 minutes,Esh Al-Bolbol,All Ages,Null,A comedy about a taxi driver who wants to achieve his goal of becoming a famous singer. He finds himself inside the world of nightclubs and befriends a belly dancer who helps him on his way to stardom,Comedy,13 October 2013
101 minutes,Halawet Rouh,+18,6742179,With her husband out of the country. Rouh lives in Bolak El Dakror with her mother-in-law. Rouh's neighbors cause her a lot of problems since several of them desire her and want to pressure her,Drama, 3 April 2014
